# Этот файл описывает даты заливки базы. Формат записей:
#  День_недели  Дата  Время  GMT  всего_вопросов  разных_вопросов

# Пнд Ноя  1 20:49:17 EST 2004
# Втр Ноя  2 20:23:30 EST 2004
# Срд Ноя  3 22:34:24 EST 2004
# Птн Ноя  5 21:23:33 EST 2004
Tue 2005-09-13 02:34:55 GMT  136134 130897
Thu 2005-09-29 00:18:11 GMT  136325 131088
Tue 2005-10-04 22:49:28 GMT  136752 131487
Sat 2005-10-08 02:29:21 GMT  136752 131485
Tue 2005-10-11 00:19:36 GMT  136928 131713
Sun 2005-10-16 04:45:52 GMT  136928 131713
Wed 2005-10-19 01:47:54 GMT  137063 131848
Tue 2005-10-25 23:24:56 GMT  137273 132058
Sun 2005-11-06 03:26:13 GMT  137456 132240
Mon 2005-11-07 23:39:23 GMT  137889 132646
Mon 2005-11-14 03:58:28 GMT  137889 132646
Sun 2005-11-20 07:00:49 GMT  137889 132646
Tue 2005-11-29 04:15:32 GMT  138875 133623
Sun 2005-12-04 16:41:23 GMT  139165 133913
Mon 2005-12-05 23:16:18 GMT  139165 133913
Sat 2005-12-10 01:21:59 GMT  139165 133910
Thu 2005-12-15 02:53:39 GMT  139550 134291
Sat 2005-12-24 23:44:07 GMT  140223 134943
Wed 2005-12-28 01:09:33 GMT  140300 135020
Fri 2006-01-06 04:25:37 GMT  140570 135280
Sat 2006-01-07 02:44:44 GMT  140570 135281
Fri 2006-01-13 04:32:02 GMT  140960 135652
Fri 2006-01-13 15:45:56 GMT  140960 135652
Tue 2006-01-17 23:19:56 GMT  140960 135652
Tue 2006-01-24 05:43:50 GMT  141326 136012
Tue 2006-02-07 00:12:18 GMT  141599 136284
Tue 2006-02-14 03:16:59 GMT  141803 136488
Thu 2006-02-23 01:09:17 GMT  141833 136518
Mon 2006-03-06 01:15:08 GMT  141964 136648
Mon 2006-03-06 23:19:47 GMT  141964 136648
Fri 2006-03-24 23:46:36 GMT  142150 136821
Tue 2006-04-11 03:10:59 GMT  142803 137459
Mon 2006-04-17 21:50:54 GMT  143525 138173
Mon 2006-04-24 22:16:28 GMT  143802 138448
Wed 2006-04-26 03:32:02 GMT  143802 138448
Mon 2006-05-01 00:07:29 GMT  143827 138473
Wed 2006-05-03 00:46:01 GMT  143960 138606
Wed 2006-05-31 23:54:45 GMT  144650 139287
Mon 2006-06-05 03:22:47 GMT  144824 139461
Wed 2006-06-14 23:53:13 GMT  145071 139706
Fri 2006-06-23 03:32:03 GMT  145071 139706
Tue 2006-06-27 15:23:46 GMT  145363 139998
Mon 2006-07-10 01:15:25 GMT  145549 140175
Wed 2006-07-12 04:27:14 GMT  145717 140343
Sun 2006-07-23 23:15:16 GMT  145753 140379
Sat 2006-07-29 19:06:31 GMT  146061 140680
Mon 2006-08-21 01:06:06 GMT  146926 141543
Fri 2006-08-25 05:35:28 GMT  147503 142095
Fri 2006-09-01 00:20:28 GMT  148040 142613
Sat 2006-09-02 06:41:03 GMT  148094 142667
Mon 2006-09-04 05:50:32 GMT  148094 142667
Mon 2006-09-04 22:04:47 GMT  148094 142667
Sun 2006-09-10 05:46:14 GMT  148188 142761
Wed 2006-09-13 04:39:04 GMT  148199 142773
Sat 2006-09-16 00:33:14 GMT  148199 142773
Sun 2006-09-24 19:18:42 GMT  148840 143408
Sun 2006-09-24 19:19:17 GMT  148840 143408
Tue 2006-09-26 23:48:07 GMT  148840 143408
Tue 2006-09-26 23:49:56 GMT  148840 143408
Tue 2006-09-26 23:52:13 GMT  148840 143408
Tue 2006-09-26 23:53:45 GMT  148840 143408
Tue 2006-10-17 02:25:06 GMT  149053 143621
Sun 2006-10-29 03:01:25 GMT  149238 143800
Mon 2006-10-30 04:09:27 GMT  149653 144214
Sun 2006-11-19 04:41:15 GMT  150049 144587
Mon 2006-11-20 23:39:42 GMT  150049 144587
Sun 2006-11-26 00:55:06 GMT  150049 144587
Sat 2006-12-02 06:38:38 GMT  150361 144898
Sun 2006-12-10 04:41:23 GMT  151253 145778
Wed 2006-12-20 03:03:04 GMT  151308 145847
Sun 2006-12-31 03:31:42 GMT  151503 146042
Mon 2007-01-01 22:53:33 GMT  151797 146326
Thu 2007-01-04 01:58:40 GMT  151796 146325
Tue 2007-02-06 03:08:50 GMT  152185 146715
Wed 2007-02-07 00:03:00 GMT  152185 146713
Sat 2007-02-10 03:04:23 GMT  152316 146842
Wed 2007-02-21 23:07:20 GMT  152761 147287
Sat 2007-02-24 01:52:27 GMT  152841 147367
Sat 2007-03-03 04:56:34 GMT  152984 147483
Thu 2007-03-08 01:24:20 GMT  152984 147483
Fri 2007-03-09 01:00:14 GMT  152984 147474
Sat 2007-03-10 20:23:41 GMT  153586 148004
Sun 2007-03-25 03:30:02 GMT  153766 148183
Thu 2007-04-05 23:32:48 GMT  154350 148749
Sat 2007-04-14 21:31:43 GMT  154615 148997
Mon 2007-04-16 00:28:00 GMT  155427 149757
Sun 2007-04-29 23:37:48 GMT  155427 149757
Thu 2007-05-03 00:37:08 GMT  155975 150305
Fri 2007-05-04 00:58:27 GMT  155975 150305
Mon 2007-05-07 23:38:34 GMT  155975 150305
Thu 2007-05-10 23:36:19 GMT  156478 150740
Sat 2007-05-19 03:52:30 GMT  156478 150740
Sat 2007-05-19 04:18:41 GMT  156478 150740
Thu 2007-05-24 02:02:10 GMT  156710 150972
Tue 2007-05-29 04:40:29 GMT  156710 150972
Sat 2007-06-09 07:12:31 GMT  156776 151038
Mon 2007-06-11 06:09:07 GMT  156889 151151
Tue 2007-06-19 11:35:46 GMT  156889 151151
Mon 2007-06-25 23:11:53 GMT  157597 151858
Tue 2007-06-26 21:48:24 GMT  157597 151852
Wed 2007-06-27 21:33:54 GMT  157597 151852
Fri 2007-06-29 02:10:15 GMT  157730 151985
Sat 2007-06-30 18:40:22 GMT  158184 152406
Tue 2007-07-03 22:32:54 GMT  158401 152623
Fri 2007-07-27 15:13:08 GMT  158448 152670
Sat 2007-07-28 19:14:55 GMT  158448 152670
Mon 2007-07-30 17:21:17 GMT  158650 152867
Sat 2007-08-04 12:25:21 GMT  158979 153162
Wed 2007-08-08 15:11:18 GMT  158979 153162
Sat 2007-08-11 14:17:42 GMT  158979 153162
Fri 2007-09-07 00:38:47 GMT  159119 153299
Fri 2007-09-14 22:38:12 GMT  159710 153885
Wed 2007-09-19 01:50:13 GMT  159710 153885
Wed 2007-09-19 21:43:18 GMT  159710 153885
Fri 2007-09-21 00:27:58 GMT  159710 153887
Fri 2007-09-21 20:52:19 GMT  159710 153887
Mon 2007-09-24 03:35:55 GMT  159710 153887
Tue 2007-09-25 02:46:03 GMT  159914 154091
Tue 2007-10-02 03:43:35 GMT  159914 154091
Fri 2007-10-05 00:07:40 GMT  160232 154398
Fri 2007-10-05 15:04:24 GMT  160278 154444
Wed 2007-10-10 19:53:31 GMT  160338 154504
Fri 2007-10-12 20:56:18 GMT  160354 154521
Mon 2007-10-15 17:43:23 GMT  160404 154571
Wed 2007-10-17 03:01:12 GMT  160404 154571
Sat 2007-10-20 23:13:16 GMT  160404 154571
Mon 2007-10-22 21:27:16 GMT  160404 154571
Sun 2007-10-28 22:20:46 GMT  160653 154820
Tue 2007-10-30 02:19:13 GMT  160653 154820
Sun 2007-11-04 03:26:10 GMT  160686 154853
Tue 2007-11-06 15:29:45 GMT  160686 154853
Sat 2007-11-10 19:25:52 GMT  160686 154853
Fri 2007-11-16 17:52:59 GMT  160686 154853
Mon 2007-11-19 03:24:20 GMT  160686 154852
Tue 2007-11-20 15:26:08 GMT  160686 154852
Thu 2007-11-22 02:10:56 GMT  160686 154851
Sun 2007-11-25 18:30:41 GMT  160772 154934
Mon 2007-11-26 22:07:19 GMT  161042 155203
Wed 2007-12-05 23:51:18 GMT  161309 155470
Fri 2007-12-07 23:21:45 GMT  161354 155515
Mon 2007-12-10 06:01:37 GMT  161450 155611
Mon 2007-12-10 15:42:18 GMT  161534 155693
Tue 2007-12-11 19:41:57 GMT  161594 155750
Wed 2007-12-12 17:57:34 GMT  161594 155750
Thu 2007-12-13 18:44:08 GMT  161642 155798
Fri 2007-12-14 15:06:05 GMT  161707 155863
Wed 2007-12-19 16:10:22 GMT  161881 156037
Thu 2007-12-20 17:31:06 GMT  161881 156037
Mon 2007-12-24 03:27:18 GMT  162165 156314
Mon 2007-12-24 17:08:34 GMT  162350 156497
Wed 2007-12-26 15:49:45 GMT  162410 156557
Fri 2008-01-04 16:29:56 GMT  162410 156557
Wed 2008-01-09 16:01:24 GMT  162617 156757
Sat 2008-01-12 01:35:59 GMT  162748 156888
Sat 2008-01-12 23:15:23 GMT  162748 156888
Sun 2008-01-13 22:58:27 GMT  162748 156888
Mon 2008-01-14 15:33:25 GMT  162844 156948
Sun 2008-01-27 20:19:03 GMT  163069 157165
Mon 2008-01-28 17:04:54 GMT  163105 157201
Fri 2008-02-08 16:43:29 GMT  163105 157201
Sat 2008-02-09 20:03:14 GMT  163105 157201
Sun 2008-02-10 23:53:57 GMT  163105 157201
Sat 2008-02-16 03:51:07 GMT  163105 157201
Sun 2008-02-17 04:50:33 GMT  163105 157201
Thu 2008-02-21 02:35:03 GMT  163896 157992
Sun 2008-02-24 17:13:43 GMT  163896 157992
Wed 2008-02-27 00:36:18 GMT  164372 158443
Sat 2008-03-01 16:50:41 GMT  164372 158443
Sat 2008-03-01 21:02:13 GMT  164372 158443
Sun 2008-03-02 04:30:52 GMT  164372 158443
Sun 2008-03-02 04:32:01 GMT  164372 158443
Wed 2008-03-05 16:55:08 GMT  164739 158781
Fri 2008-03-07 18:28:01 GMT  164739 158781
Tue 2008-03-18 16:01:19 GMT  164964 158994
Sun 2008-03-23 18:36:06 GMT  165391 159386
Tue 2008-06-03 17:15:35 GMT  165519 159514
Wed 2008-06-04 15:57:37 GMT  165609 159604
Fri 2008-06-06 18:12:06 GMT  165793 159787
Sat 2008-06-07 17:01:31 GMT  165835 159829
Wed 2008-06-11 19:54:38 GMT  165871 159865
Sat 2008-06-14 18:58:03 GMT  166255 160249
Wed 2008-06-18 20:58:32 GMT  166379 160370
Fri 2008-06-20 21:11:08 GMT  166379 160370
Mon 2008-06-23 18:55:10 GMT  166579 160570
Thu 2008-06-26 17:31:09 GMT  166607 160598
Sat 2008-06-28 17:27:14 GMT  166716 160685
Sun 2008-06-29 22:32:33 GMT  166781 160748
Wed 2008-07-02 02:05:07 GMT  166900 160867
Thu 2008-07-10 14:54:12 GMT  166900 160867
Fri 2008-07-11 14:52:48 GMT  166900 160867
Sat 2008-07-12 20:06:09 GMT  167101 161061
Fri 2008-07-18 12:42:45 GMT  167507 161451
Tue 2008-07-22 17:49:22 GMT  167561 161504
Fri 2008-07-25 21:09:58 GMT  167561 161503
Tue 2008-07-29 15:45:12 GMT  168348 162289
Sat 2008-08-02 15:13:32 GMT  168348 162289
Mon 2008-08-04 00:05:53 GMT  168372 162313
Mon 2008-08-04 14:22:34 GMT  168372 162311
Wed 2008-08-06 15:02:02 GMT  168372 162311
Fri 2008-08-08 14:26:05 GMT  168372 162311
Wed 2008-08-20 16:31:43 GMT  168372 162311
Mon 2008-08-25 15:43:53 GMT  168948 162855
Wed 2008-08-27 15:28:05 GMT  169083 162984
Sat 2008-08-30 17:12:47 GMT  169507 163405
Sun 2008-08-31 19:52:23 GMT  169507 163405
Thu 2008-09-04 19:53:00 GMT  169822 163710
Fri 2008-09-05 23:42:49 GMT  169997 163885
Sun 2008-09-07 19:59:18 GMT  169997 163885
Thu 2008-09-11 16:01:47 GMT  170157 164044
Sun 2008-09-21 15:33:56 GMT  170157 164044
Tue 2008-09-23 15:06:22 GMT  170592 164479
Fri 2008-09-26 16:29:26 GMT  170592 164479
Sun 2008-09-28 22:11:26 GMT  170811 164696
Mon 2008-09-29 16:22:07 GMT  170811 164696
Tue 2008-09-30 18:07:45 GMT  170850 164735
Fri 2008-10-03 17:16:05 GMT  170980 164853
Mon 2008-10-06 03:17:17 GMT  171027 164900
Tue 2008-10-07 16:12:10 GMT  171135 165008
Wed 2008-10-08 15:46:37 GMT  171135 165008
Thu 2008-10-09 16:29:30 GMT  171135 165008
Tue 2008-10-21 17:13:52 GMT  171135 165008
Wed 2008-10-22 16:40:09 GMT  171391 165262
Mon 2008-10-27 18:40:39 GMT  171391 165262
Sun 2008-11-02 17:56:58 GMT  171610 165481
Wed 2008-11-05 17:58:00 GMT  171620 165491
Sat 2008-11-08 23:57:59 GMT  171797 165668
Sun 2008-11-09 19:33:09 GMT  171797 165668
Wed 2008-11-12 16:08:29 GMT  171837 165707
Thu 2008-11-13 17:18:56 GMT  171837 165707
Sun 2008-11-16 21:49:24 GMT  171897 165773
Thu 2008-11-20 22:26:05 GMT  171897 165773
Sun 2008-11-23 23:42:54 GMT  171957 165832
Mon 2008-11-24 17:40:28 GMT  171957 165832
Wed 2008-11-26 18:05:28 GMT  171957 165832
Thu 2008-11-27 16:55:30 GMT  172029 165904
Fri 2008-11-28 23:35:28 GMT  172029 165904
Mon 2008-12-01 03:09:21 GMT  172333 166199
Mon 2008-12-01 16:28:34 GMT  172475 166341
Tue 2008-12-02 18:49:32 GMT  172565 166431
Fri 2008-12-05 16:45:33 GMT  172791 166634
Sun 2008-12-07 19:53:35 GMT  172881 166724
Mon 2008-12-08 17:29:06 GMT  172956 166799
Wed 2008-12-10 16:22:37 GMT  173010 166853
Fri 2008-12-12 16:28:50 GMT  173010 166853
Wed 2008-12-31 05:37:54 GMT  173010 166853
Fri 2009-01-02 16:09:34 GMT  173046 166889
Sat 2009-01-03 17:15:36 GMT  173166 167009
Sun 2009-01-04 18:29:47 GMT  173166 167009
Tue 2009-01-06 16:14:45 GMT  173226 167060
Wed 2009-01-07 17:53:53 GMT  173226 167060
Thu 2009-01-08 15:30:03 GMT  173226 167060
Wed 2009-01-21 20:26:50 GMT  173226 167060
Sun 2009-02-01 18:16:48 GMT  173286 167120
Wed 2009-02-04 17:07:12 GMT  173316 167150
Thu 2009-02-05 20:44:46 GMT  173341 167175
Tue 2009-02-10 16:32:10 GMT  173432 167263
Tue 2009-02-24 16:35:03 GMT  173432 167263
Thu 2009-02-26 16:27:27 GMT  173734 167526
Sat 2009-02-28 19:22:54 GMT  173796 167588
Mon 2009-03-02 18:03:03 GMT  173796 167587
Sun 2009-03-08 15:44:47 GMT  173796 167587
Mon 2009-03-09 18:42:44 GMT  173796 167587
Tue 2009-03-10 16:32:35 GMT  173796 167588
Wed 2009-03-18 17:41:32 GMT  174336 168121
Wed 2009-03-25 15:32:15 GMT  174559 168335
Thu 2009-03-26 15:18:20 GMT  174559 168335
Fri 2009-03-27 15:56:31 GMT  174592 168332
Sat 2009-03-28 18:21:08 GMT  174631 168371
Fri 2009-04-10 15:16:09 GMT  174502 168247
Sat 2009-04-11 16:36:45 GMT  174533 168278
Sun 2009-04-12 18:58:29 GMT  174533 168278
Mon 2009-04-13 14:31:01 GMT  174623 168366
Wed 2009-04-15 16:22:02 GMT  174668 168411
Thu 2009-04-16 18:09:04 GMT  174668 168412
Sat 2009-04-18 14:20:25 GMT  174695 168439
Mon 2009-04-20 20:54:25 GMT  174835 168577
Wed 2009-05-13 16:20:31 GMT  174835 168577
Wed 2009-05-20 02:04:47 GMT  175378 168988
Thu 2009-05-21 15:35:13 GMT  175414 169024
Fri 2009-05-22 21:40:44 GMT  175414 169024
Sat 2009-05-23 21:12:50 GMT  175548 169158
Mon 2009-05-25 22:36:29 GMT  175548 169158
Thu 2009-06-04 15:25:51 GMT  175587 169197
Tue 2009-06-09 15:04:57 GMT  175587 169197
Sat 2009-06-13 16:52:20 GMT  175804 169414
Sun 2009-06-28 20:19:00 GMT  176092 169697
Mon 2009-06-29 16:21:41 GMT  176308 169913
Tue 2009-06-30 17:43:35 GMT  176502 170107
Fri 2009-07-03 17:34:32 GMT  176608 170213
Tue 2009-07-07 14:56:39 GMT  176608 170212
Wed 2009-07-08 15:08:25 GMT  176662 170266
Thu 2009-07-09 15:32:09 GMT  176734 170338
Fri 2009-07-10 15:03:08 GMT  176829 170433
Sat 2009-07-11 16:06:40 GMT  177030 170634
Wed 2009-07-15 15:19:43 GMT  177120 170724
Thu 2009-07-16 14:50:47 GMT  177246 170850
Fri 2009-07-17 20:58:57 GMT  177246 170849
Mon 2009-07-20 15:56:10 GMT  177306 170909
Sat 2009-07-25 19:40:34 GMT  177691 171294
Thu 2009-07-30 03:22:58 GMT  177691 171294
Sun 2009-08-02 13:59:34 GMT  177909 171512
Mon 2009-08-03 14:54:17 GMT  178216 171803
Mon 2009-09-21 16:12:18 GMT  178216 171803
Thu 2009-09-24 17:13:03 GMT  178284 171871
Sat 2009-09-26 19:42:33 GMT  178284 171871
Sun 2009-09-27 21:30:43 GMT  178376 171963
Mon 2009-10-05 17:16:06 GMT  178381 171968
Tue 2009-10-13 00:19:30 GMT  179172 172710
Tue 2009-10-13 23:00:43 GMT  179172 172709
Thu 2009-10-15 01:35:07 GMT  179217 172754
Fri 2009-10-16 22:53:44 GMT  179377 172914
Mon 2009-10-26 03:31:28 GMT  179819 173356
Mon 2009-10-26 18:30:31 GMT  179819 173356
Wed 2009-10-28 21:16:18 GMT  179819 173356
Thu 2009-10-29 20:09:44 GMT  179920 173456
Sat 2009-10-31 18:27:00 GMT  180088 173623
Mon 2009-11-02 17:18:35 GMT  180203 173702
Thu 2009-11-05 21:52:39 GMT  180275 173738
Sun 2009-11-15 17:23:29 GMT  180359 173822
Wed 2009-11-18 17:47:50 GMT  180359 173822
Sat 2009-11-21 17:57:27 GMT  180359 173822
Tue 2009-11-24 22:46:11 GMT  180396 173859
Mon 2009-12-14 17:12:34 GMT  180422 173884
Sat 2009-12-19 20:02:22 GMT  180422 173884
Tue 2009-12-22 19:45:55 GMT  180422 173884
Thu 2009-12-31 16:59:29 GMT  180654 174006
Sat 2010-01-02 18:57:36 GMT  180678 174030
Mon 2010-01-04 15:31:28 GMT  180933 174253
Wed 2010-01-06 17:40:51 GMT  181320 174639
Sun 2010-01-10 18:55:13 GMT  181872 175174
Mon 2010-01-11 16:34:07 GMT  181872 175174
Fri 2010-01-15 17:01:31 GMT  182298 175600
Sat 2010-01-16 16:41:23 GMT  182904 176162
Thu 2010-01-21 16:18:18 GMT  183045 176303
Fri 2010-01-22 15:21:37 GMT  183204 176462
Fri 2010-01-29 17:08:39 GMT  183625 176795
Sat 2010-01-30 19:03:47 GMT  183661 176831
Sun 2010-01-31 19:09:10 GMT  183661 176831
Tue 2010-02-02 20:23:09 GMT  183754 176924
Wed 2010-02-03 17:18:31 GMT  183754 176924
Tue 2010-02-09 16:22:57 GMT  183754 176924
Tue 2010-02-16 16:37:48 GMT  184762 177891
Fri 2010-02-19 16:01:04 GMT  185171 178300
Sat 2010-02-20 17:15:12 GMT  185473 178602
Sun 2010-02-21 18:13:26 GMT  185473 178602
Mon 2010-02-22 17:05:04 GMT  185666 178795
Thu 2010-03-11 16:35:36 GMT  185926 179011
Mon 2010-03-22 02:43:41 GMT  185926 179011
Mon 2010-03-22 15:52:24 GMT  185926 179011
Fri 2010-03-26 15:21:23 GMT  186112 179189
Tue 2010-04-20 15:52:42 GMT  186208 179283
Wed 2010-04-21 15:16:31 GMT  186208 179282
Thu 2010-04-22 16:14:17 GMT  186349 179411
Fri 2010-04-23 16:03:33 GMT  186349 179414
Sat 2010-04-24 16:36:23 GMT  186414 179479
Mon 2010-04-26 16:18:58 GMT  186414 179479
Tue 2010-04-27 17:32:38 GMT  186534 179584
Wed 2010-04-28 16:27:17 GMT  186534 179584
Sun 2010-05-02 15:28:50 GMT  186534 179584
Mon 2010-05-03 16:36:18 GMT  186534 179584
Thu 2010-05-06 15:07:32 GMT  186534 179585
Tue 2010-05-11 15:17:02 GMT  187025 180061
Fri 2010-05-21 15:24:59 GMT  187025 180062
Mon 2010-05-24 15:37:34 GMT  187025 180062
Tue 2010-06-08 15:29:18 GMT  187025 180062
Mon 2010-06-21 15:19:19 GMT  187043 180080
Sun 2010-06-27 18:17:26 GMT  188091 181110
Tue 2010-06-29 14:12:48 GMT  188608 181574
Sat 2010-07-03 18:42:18 GMT  188608 181574
Tue 2010-07-20 18:52:57 GMT  188979 181845
Tue 2010-08-03 15:09:22 GMT  189310 182176
Sun 2010-08-15 17:43:52 GMT  189460 182321
Mon 2010-08-16 16:04:54 GMT  189541 182402
Tue 2010-08-24 15:14:43 GMT  189691 182535
Tue 2010-08-31 15:14:13 GMT  189691 182538
Wed 2010-09-01 15:03:11 GMT  189691 182533
Thu 2010-09-02 15:37:49 GMT  190768 183594
Fri 2010-09-03 18:26:43 GMT  190777 183603
Sat 2010-09-04 16:22:57 GMT  191001 183811
Tue 2010-09-07 15:45:30 GMT  191001 183811
Thu 2010-09-09 15:19:37 GMT  191001 183809
Thu 2010-09-23 15:18:49 GMT  191534 184336
Fri 2010-09-24 16:01:01 GMT  191534 184336
Sun 2010-10-03 20:08:18 GMT  191534 184336
Mon 2010-10-04 17:27:20 GMT  191534 184336
Mon 2010-10-11 17:54:36 GMT  192025 184815
Fri 2010-10-15 12:13:24 GMT  192025 184815
Sat 2010-10-16 12:15:11 GMT  192025 184815
Sat 2010-10-30 16:42:18 GMT  193016 185728
Sun 2010-10-31 19:45:52 GMT  193016 185728
Thu 2010-11-04 16:16:05 GMT  193390 186102
Sat 2010-11-06 17:36:51 GMT  193390 186102
Mon 2010-11-08 02:36:06 GMT  193631 186343
Thu 2010-11-11 17:27:14 GMT  193631 186343
Fri 2010-11-12 16:14:59 GMT  193631 186343
Sat 2010-11-13 18:59:32 GMT  193631 186343
Thu 2010-11-18 16:55:26 GMT  193651 186363
Fri 2010-11-19 18:21:39 GMT  193950 186662
Thu 2010-11-25 19:56:07 GMT  194126 186838
Sat 2010-12-04 18:35:08 GMT  194523 187187
Sun 2010-12-05 19:27:39 GMT  194584 187248
Tue 2010-12-07 16:19:58 GMT  194584 187248
Wed 2010-12-08 16:21:16 GMT  194584 187248
Mon 2010-12-13 16:49:45 GMT  194653 187317
Tue 2010-12-14 17:42:29 GMT  194713 187377
Fri 2010-12-17 19:07:43 GMT  194897 187559
Sun 2010-12-19 00:22:38 GMT  194943 187605
Fri 2010-12-24 18:38:34 GMT  194982 187644
Sat 2010-12-25 20:17:28 GMT  194982 187644
Sun 2011-01-02 17:48:32 GMT  195442 188099
Tue 2011-01-04 18:33:33 GMT  195683 188340
Thu 2011-01-06 16:49:30 GMT  196158 188814
Mon 2011-01-10 16:41:08 GMT  196203 188859
Wed 2011-01-12 16:13:06 GMT  196203 188859
Mon 2011-01-17 16:47:49 GMT  196477 189133
Wed 2011-01-19 16:09:26 GMT  196477 189133
Fri 2011-01-28 16:28:40 GMT  196920 189557
Sat 2011-01-29 18:19:29 GMT  196920 189557
Wed 2011-02-02 16:54:15 GMT  196920 189557
Thu 2011-02-03 16:10:23 GMT  196920 189557
Tue 2011-02-08 15:33:55 GMT  197401 190038
Fri 2011-02-11 15:52:09 GMT  197566 190203
Mon 2011-02-21 16:37:49 GMT  198041 190677
Fri 2011-02-25 16:09:28 GMT  198041 190677
Mon 2011-02-28 16:12:20 GMT  198259 190895
Wed 2011-03-09 16:46:53 GMT  198566 191061
Mon 2011-03-14 15:48:37 GMT  198881 191364
Wed 2011-03-16 15:15:29 GMT  198917 191400
Wed 2011-03-30 15:27:54 GMT  198917 191400
Sun 2011-04-03 13:34:21 GMT  199011 191491
Mon 2011-04-04 09:46:19 GMT  199469 191949
Tue 2011-04-12 16:10:11 GMT  199853 192333
Fri 2011-04-15 16:43:32 GMT  200485 192965
Sun 2011-04-17 14:11:47 GMT  200644 193072
Tue 2011-04-19 13:22:00 GMT  200730 193158
Mon 2011-04-25 15:20:33 GMT  200730 193158
Tue 2011-04-26 16:16:31 GMT  200949 193377
Thu 2011-04-28 17:10:50 GMT  201054 193475
Fri 2011-04-29 15:18:09 GMT  201154 193566
Sun 2011-05-08 19:23:35 GMT  203007 195265
Thu 2011-05-12 18:11:27 GMT  203093 195351
Mon 2011-06-06 15:17:07 GMT  204115 196370
Tue 2011-06-07 15:30:24 GMT  204151 196406
Tue 2011-06-21 15:13:16 GMT  204180 196435
Thu 2011-06-23 14:59:01 GMT  204338 196594
Tue 2011-06-28 15:04:03 GMT  204590 196840
Fri 2011-07-01 15:40:25 GMT  204720 196889
Sat 2011-07-02 20:41:31 GMT  204720 196889
Fri 2011-07-15 15:30:33 GMT  205230 197395
Mon 2011-07-18 15:07:13 GMT  205418 197583
Wed 2011-07-20 16:55:45 GMT  205603 197740
Thu 2011-07-21 16:01:35 GMT  205603 197740
Fri 2011-07-22 17:21:21 GMT  206080 198128
